class,text
negative,"#Microsoft took 6 months to recruit Everson and 9 months to lose her to #Faceboook via Adweek http://t.co/l5mTm6Ig"
negative,"Comp crash #Microsoft :/ Wouldn't get this with an iMac -__-"
negative,"Reader 'Tronman' compares #SteveBallmer to an albatross around #Microsoft's neck. Do you agree? Join the discussion! http://t.co/Mn39R2vc"
negative,"Reader 'Tronman' compares #SteveBallmer to an albatross around #Microsoft's neck. Do you agree? Join the discussion! http://t.co/2iJK0VB3"
negative,"Reader 'Tronman' compares #SteveBallmer to an albatross around #Microsoft's neck. Do you agree? Join the discussion! http://t.co/DFFkvnSJ"
negative,"#WindowsPhone7 would get a lot more blog and review love if #Microsoft provided a tool to grab screenshots. It's nearly impossible #wpt"
negative,"RT @Saptha: When u dine with a customer u shoukd never explain abt solutions unless he ask , M$ never lean the concept #microsoft #fail"
negative,"I hate #Microsoft PowerPoint!"
negative,"Is #Microsoft just another evil corporation? Beware when it comes to buying a #Windows8 PC http://t.co/QbgXXJMm"
negative,"#skype is now part of stupid #microsoft it seems"
negative,"#Skype is underwhelming: I use skype. It was recently bought by #Microsoft for $8.5 billion. As such it has a v... http://t.co/Xli2bR42"
negative,"Apple + Microsoft...The Difference: How #Apple Eclipsed #Microsoft @PSFK: http://t.co/Rmi8oSMi #brand #brands #marketing #innovation"
negative,"#Microsoft knows how to kick off an opening, but I don't quite see the #edge for Windows Phone or their tablets #iSorry http://t.co/9XDdXN1w"
negative,"RT @amarsanghera The fact that #Microsoft are using a #QRCode alongside one of their colour code shows the format is failing, opinions…"
negative,"If #Apple came out with gaming console (ala Xbox 360) that blew the current players out of water, #Microsoft and #Sony would be in trouble"
negative,"The fact that #Microsoft are using a #QRCode alongside one of their colour code shows the format is failing, opinions? http://t.co/BlhHGOpo"
negative,"If #Microsoft had more interoperability between their products (Xbox 360, Windows 7, Windows Phone 7, Zune) I'd be a Windows Phone user."
negative,"#Microsoft - We put the backwards into backwards compatibility. #instantfollowback"
negative,"Is #Nokia chief executive a #Microsoft mole? http://t.co/jkOTcrMb Stephen Elop accused of destroying Nokia so Microsoft can buy it cheap."
negative,"#Microsoft #Dynamics #NAV is a cesspit. Extreme consultingware. To be avoided..."
negative,"Wow. Lots of negative comments about #windows8 on the @BuildWindows8 blog. I sure hope #Microsoft is listening #keepthedesktop"
negative,"When u dine with a customer u shoukd never explain abt solutions unless he ask , M$ never lean the concept #microsoft #fail"
negative,"Distrust and angst amongst #Nokia employees against #Selop #Microsoft fixation. http://t.co/jkOTcrMb"
negative,"I am quickly falling in love with #Apple #iCloud. Finally a web-based solution to wave my old #Microsoft Outlook bye-bye"
negative,"Yeh behatreen samay hay parivar honeka says the #microsoft #ad in hindi. Preaching family values to indians? Get a local ad agency guys"
negative,"#BOFH excuse #447: According to #Microsoft, it's by design | #IFollowBack #Instantly"
negative,"I sware to go, #windows and #microsoft will be the death of me...I don't know why I keep giving windows (cont) http://t.co/3rkOchzr"
negative,"RT @EA_Jorge: I'm on day 80-something of my Xbox LIVE acct being hacked. This is worse than PSN hack. Will I ever get it back? #Microsof ..."
negative,"Thanks again #microsoft for wasting more of my time. Apple&gt;windows http://t.co/GNy9G07B"
negative,"Dear #Microsoft, I should only have to hit the Windows update button *once* when manually running updates, not 4 or 5 times. #sysadmin"
negative,"Totally unproductive day with no access to #Microsoft Excel or Word, aaargh! Will be working late tonight after hubby fixes. #fingerscrossed"
negative,"RT @ManelFMartinez: How #Apple eclipsed #Microsoft http://t.co/IJ6XyDp3 #sun rise #in via @guardian"
negative,"How #Apple eclipsed #Microsoft http://t.co/IJ6XyDp3 #sun rise #in via @guardian"
negative,"I don't understand y @Google mail can work seamlessly in all browsers in all platforms and #Microsoft Exchg sucks n says you need IE6."
negative,"#Microsoft has frozen some #Xbox Live (XBL) accounts after online gamers report they have been hacked. http://t.co/MdQhb6x3"
negative,"@nicholi57 @yuvalz @MobileBurn lets's wait and see if it interests ppl, #MeeGo does... No one likes #Microsoft, we are just forced fed WPs"
negative,"I'm on day 80-something of my Xbox LIVE acct being hacked. This is worse than PSN hack. Will I ever get it back? #Microsoft #Xbox #Fail"
negative,"Interesting read - How #Apple eclipsed #Microsoft http://t.co/hFWpbMY6 via @guardian (cc: @elcheicon)"
negative,"So let me get this straight, #microsoft makes windows phone, microsoft owns skype but there's no #skype app for windows phone."
negative,"#microsoft update is so slow :(( http://t.co/37IGhGic"
negative,"Fuck #microsoft i love them to death but that red ring and no free xboxlive is killing me. #Sony all day :-\ microsoft"
negative,"http://t.co/PUJYV9c0 With friends like #Billgates and #steveballmet at #microsoft, who needs enemies ;-)"
negative,"#Microsoft 's latest offering leaves me praying for the Blue Screen of Death. http://t.co/gTqdvfxo #advertising #OhNoNotAgain"
negative,"I did the best of everyone who failed - Bill Gate #Microsoft"
negative,"Which planet is he living on? #Microsoft #CEO #Fail #palmface http://t.co/3zcq60SF"
negative,"I've seen a couple of iPhone 4S's already, but still no Windows Phone 7's ... ever! #Microsoft not so hot."
negative,"#Microsoft licensing process is annoying !!!"
negative,"It baffles me that Steve Ballmer can be a CEO of a company, let alone a giant like #Microsoft - The guys a moron."
negative,"#Microsoft arrogance again - Ballmer says you need to be a computer scientist to use #Android http://t.co/6PHh3Jb6"
negative,"#Microsoft arrogance again - Ballmer says you need to be a computer scientist to use #Android http://t.co/pltitgeI"
negative,"Is the sound of compliments that sound more like obituaries #microsoft"
negative,"#Nokia co-operation with #Microsoft listed as the 4th riskiest business move of the year: http://t.co/IYo86gVj"
negative,"[WebProNews Finance] #Yahoo Revenue Drop Attributed to #Microsoft Deal http://t.co/EOrOSstX"
negative,"#microsoft still didn't managed access to #metro apps on older netbooks. #win8 #resolution"
negative,"#Yahoo Revenue Drop Attributed to #Microsoft Deal http://t.co/yRcKQeIs"
negative,"[WebProNews Finance] #Yahoo Revenue Drop Attributed to #Microsoft Deal http://t.co/ItdkLRry"
negative,"Nokia employees still worried that Elop is a Microsoft mole http://t.co/n4Cpu3vj #microsoft #windows"
negative,"I so wish that #SteveBallmer from #Microsoft would have to swallow his words about #Yahoo: http://t.co/XSJGIfop"
negative,"just upgraded to win 8 on my pc only for it to tell me it failed to install and they dont know what happened thats #microsoft for you!"
negative,"Really hate the #Microsoft #mcp site"
negative,"Screened by RepRisk – #Microsoft will undergo trial for its alleged anti-competitive practices @Microsoft"
negative,"I have concluded, having used it since March, that Windows 7 Ultimate is a complete catastrophe. Mr Gates, you have lost the plot #Microsoft"
negative,"How #Apple eclipsed #Microsoft http://t.co/dL9CRCZy"
negative,"Oh how much do I loathe #microsoft??? An hour to 'configure updates' which it is then unable to do so another 20 mins 'reverting changes'..."
negative,"http://t.co/zBLtZ5MW German Federal #Trojan's got a BigBrother. #Gov spying on its people, #Microsoft's 32bit/64bit #Windows is target"
negative,"#Microsoft, #Adobe lose $13.5bn to piracy: Report http://t.co/x4yWfNSV"
negative,"#Microsoft, #Adobe lose $13.5bn to piracy: Report http://t.co/wXBC1UUw"
negative,"System.IO.File.Delete - You lie! You didn't delete my file, and you didn't throw an exception. WTF!? #microsoft #net"
negative,"Wilth #Accessibility mode on in #SharePoint 2010, it seems that #Workflows sometimes do not start automatically #SP2010 #Workflow #Microsoft"
negative,"Internet Explorer 9 is the biggest pile of shit ever seriously #Microsoft #IE9"
negative,"I have been seriously slacking with my #mandarin studies these past few months. Blame #Microsoft and #Cisco!! #StudyingWhilstMotivated"
negative,"sledgehammer maybe! RT @SkandalasGP Office blues *drink?* RT @wuppy: #microsoft fail #notresponding for fcucks sake http://t.co/lCXa9q8P"
negative,"#skype is ruining the friendship with your aggressive #microsoft type selling. If i need something i'll ask. Thank you..."
negative,"Office blues *drink?* RT @wuppy: #microsoft fail #notresponding for fcucks sake http://t.co/VtYbqI91"
negative,"@joannejacobs I'd like to criticise #Microsoft's Steve Ballmer face-to-face for all the pain & suffering their products cause. #justsaying"
negative,"#microsoft fail #notresponding for fcucks sake http://t.co/lCXa9q8P"
negative,"How #apple eclipsed #microsoft http://t.co/4bWXJaDg by @charlesarthur #business @guardian"
negative,"RT @guardiantech: How #Apple eclipsed #Microsoft http://t.co/GK6YjTFY &lt;- Microsoft's future is in the corporate world, not consumer"
negative,"♻ @waynp: Not the MS hate bit tho. &lt; Waddya mean? #microsoft sucks bonobo monkeys' asses... #Linux roolz. For the extremists, there's #BSD"
negative,"#Microsoft, #Adobe lose $13.5bn to piracy: Report - The Times of India http://t.co/5IbOBNrH"
negative,"#Skype often crashing: #microsoft, what are you doing?"
negative,"#Microsoft's #SteveBallmer attacks #Android phones ..... well #windows7mobile is gay, you metro! http://t.co/sQnE1iLb via @Telegraph"
negative,"♻ @mariospr: Stand up for your freedom to install free software. Please sign up! http://t.co/YOOTfKTM #gnu #against #microsoft"
negative,"#Microsoft just bought #Skype officially. So how's the future of #Skype on any other devices/operating systems? :("
negative,"#Google go went gone..server issues! first time since ages...now my faith in Tech. from #RIM to #Microsoft has been completely lifted"
negative,"RT @sander_koers: #Google Apps vs. #Microsoft #Office 365: it is clear that Google Apps should be the top choice http://t.co/OySZmjVi #in"
negative,"Ouch!!! #Microsoft #Azure #fail http://t.co/LJpGVZJT"
negative,"#Google Apps vs. #Microsoft #Office 365: it is clear that Google Apps should be the top choice http://t.co/KDTD4zRe"
negative,"#microsoft #SBS 2011 disabling third party software #updates via #gpo"
negative,"How #Apple eclipsed #Microsoft http://t.co/KxboqsKj"
negative,"Unmindful Ballmer, collects half a billion, doesn't say thank you. http://t.co/lwtpXejo #android #google #microsoft"
negative,"#Apple eclipsed #Microsoft http://t.co/wEdPbcPx"
negative,"http://t.co/5oK4XcOw Microsoft !! i hate you again !! #microsoft"
negative,"Open Letter: Steve Ballmer, Please Retire - Forbes - Please retweet! #MSFT needs a techie leader. http://t.co/E8uMRmro #microsoft #ballmer"
negative,"@MatthewGPhy One Operating System to rule them all and in the darkness bind them. #Microsoft"
negative,"I wonder if I tweet Bill Gates he'll fix my laptop... #Microsoft #vista #fml"
negative,"RT @anup_pillai: How #Apple eclipsed #Microsoft | http://t.co/r6hNEtTu"
negative,"After I don't know how many years, you still can't copy a #microsoft #word document headings to #powerpoint. #justsaying"
negative,"#microsoft #careers site is giving errors for any thing i search!! #weird http://t.co/vJ2JpKtM http://t.co/02dYONXz"
negative,"Installing .NET framework, this might take very many years. Come back when your unborn child is in college. #microsoft"
negative,"Watching podcast of Steve Jobs & Bill Gates at 07 D5. Gates sucks at tech predictions! All talk #Apple #Microsoft"
negative,"My#Dell comp on shitty #Microsoft vista blue screened i swear this is steve jobs ghost coming back to finish what he started#appledomination"
negative,"#WTF #Microsoft #sbs2008 #rww only works in #IE. #browserwars"
negative,"#Twitter y #Facebook OFF"
negative,"#Twitter are you freaking kidding me #wth... http://t.co/zKn2bu5R"
negative,"RT @mainey_maine: RT @ItalianJoya i better be able to see my RT's tomorrow #twitter and tell that lil blue ass bird, (cont) http://t.co/ ..."
negative,"Just hit my hourly usage limit on #twitter. How does that even happen? All I'm doing is listing people...and I was almost done! #ugh"
negative,"RT @FuckingShinez: #Twitter = #Dead this is why im never on it now"
negative,"I hate #twitter right now.."
negative,"I'm not getting all of my @ replies #twitter if it wasn't for my emails telling me that some1 replied to me I wouldn't even know it #nobueno"
negative,"Wtf is a tweet , sounds like tha dam cartoon network #tweeted #tweeter #twitter #twitterer"
negative,"#TWITTER SUCKS FOR HAVING A #FOLLOW LIMIT =\ twitter"
negative,"So my mentions don't work? And my TL don't be wanting to update. Is #twitter moving servers or doing maintenance?"
negative,"Well... @Paging_Dr_A has gotten back on #twitter.. there goes my TL lol"
negative,"Anyone in #twitter land know if retweets are broken? Haven't seen any since Tuesday."
negative,"RT @ItalianJoya i better be able to see my RT's tomorrow #twitter and tell that lil blue ass bird, (cont) http://t.co/xGHoev8k"
negative,"RT @ItalianJoya: i better be able to see my RT's tomorrow #twitter and tell that lil blue ass bird, and fat ass over capacity whale to!"
negative,"#Twitter ain't showing my current mentions or my tweets retweeted #Ughh"
negative,"i better be able to see my RT's tomorrow #twitter and tell that lil blue ass bird, and fat ass over capacity whale to!"
negative,"#Twitter, will you please fix this RT problem?"
negative,"#Twitter = #Dead this is why im never on it now"
negative,"Im gonna need #Twitter to get all these problems fixed ASAP."
negative,"#Twitter'sMalfunctioningAgain"
negative,"#Twitter is blowing me ; I can't see my retweets ;("
negative,"Man #Twitter Is Gettin #BORING"
negative,"#twitter app also doesn't show me the conversation when I touch a tweet."
negative,"Anyone else having trouble with the (i)Pad #twitter app not updating @'s? I get notified but can't see them in the app."
negative,"@Licia0321 Damn what the hell, I think my #Twitter might need a damn #Exorcist!!"
negative,"#Twitter got me all messed up everytime i compose a text msg i get stressed I only have 140 caracteres! all dis networkin is gettin confusin"
negative,"@8Sunni Yeah shit happens, #Twitter is a real whore sometimes!"
negative,"#Twitter is Fawkin up!!!"
negative,"#twitter show my fuckin retweets bitch"
negative,"RT @FucknWithFatty: #Twitter needs to get their shit together cause they fucking up! I'm not getting my RT's or mentions. -______________-"
negative,"#twitter is sooo trash ritenow with all dezz #highscoolmemories -__-"
negative,"WHY DFF IS #TWITTER STILL LAGGIN ON SHOWIN WHO RETWEETS UR SHITT"
negative,"People should be more interesting on #facebook and #twitter at midnight. I'm getting bored."
negative,"Tried explaining #Twitter to my mom, but her why would you want to do that? argument was pretty bulletproof. #igiveup"
negative,"#twitter is a fad. Was addicted now I don't rly care."
negative,"RT @mixedchik22: #Twitter.... Side Affects include: Procrastination, No Sleep, Unable to Focus on ANYTHING, Subtweeting, RT, TT, and Low ..."
negative,"Okay #Twitter, it'd be muchhh appreciated if you could start working on my computer soon."
negative,"#Twitter.... Side Affects include: Procrastination, No Sleep, Unable to Focus on ANYTHING, Subtweeting, RT, TT, and Low Batteries"
negative,"RT @nagoul1: #Retweets section of my #twitter account has not been working for 17 hours! Is Everyone else having this problem? #RT #RTs"
negative,"#Retweets section of my #twitter account has not been working for 17 hours! Is Everyone else having this problem? #RT #RTs"
negative,"for some reason #twitter isnt allowing me to see my tweets that got retweeted."
negative,"Good lord #twitter send my bloody tweets! #ihateyourightnow"
negative,"I feel all alone on #twitter. #itstolate"
negative,"So im about to make another #twitter account since this one fucked up"
negative,"My DM's Come in So Fucking Late, Damn #Twitter"
negative,"Yep it's official, my tweets that get RT'd aren't showing me when they get RT'd. Dammit #Twitter, sometimes it's #Love/Hate thing we have!!"
negative,"@MsTapoutBarbie Yep figured my shit is jacked. Dammit #Twitter!!"
negative,"dear @twitter / #twitter FIX YOUR SHIT. we cant see our retweets or mentions!"
negative,"#Twitter got DEAD as fuck all of a sudden!!!"
negative,"I HATE #TWITTER"
negative,"#twitter is the last time I do this social networking thing"
negative,"My #Twitter acting funnyyyyyyy...."
negative,"still not quite sure how to use this/what the point of it is... #twitter? #idontunderstand"
negative,"#twitter why must you be so difficult?"
negative,"Thank you #twitter for not giving me the 10 tweets that have been tweeted at me in the past 3 days! Lol #blameitontheiphone #ineedtoupdate"
negative,"#Twitter is messed up followers keep switching to same numbers -___- #FIXIT!"
negative,"I need to get off #twitter"
negative,"RT @Prettynesz: #twitter still not showin my mothafuckin #retweets . ."
negative,"#Twitter timeline and mentions up the shit :("
negative,"So much garbage. #Twitter"
negative,"Who the hell uses #twitter on a tv man. #panasonic #epicfail."
negative,"#twitter still not showin my mothafuckin #retweets . ."
negative,"#stupid fucking #Twitter #Twitterapp give me my Damn #mentions NOOWWWWWW!!!!! UGH! #DRAWLIN AS ALWAYS #TMW #PROMOALLDAY #FOLLOWLIMITISGAY TO"
negative,"RT @JolieeSharmeda #twitter be fucking up"
negative,"@KushKitty420 you, #Facebook #twitter and the #tv are all #distractions whenever I wanna study ;("
negative,"RT @VanillaLatte_xD: #omfg .. #Twitter , Why fxck up ? I wanna see my Retweets /"
negative,"RT @nicolebanyots: #twitter UH, SHOW ME MY RETWEETS, OR ILL GO BACK TO FACEBOOK. K? K."
negative,"if my mom went on for the love of ray J or any reality show i'd bee pissed ."
negative,"@BarCough it's enough to make you sick, eh? there's nothing sacred anymore"
negative,"Iran, with its unity and God's grace, will punch the arrogance (West) 22nd of Bahman (Feb 11) in a way that will leave them stunned,"
negative,"#4WordsOnObamasHand Don't Say The N-Word"
negative,"City watchdog in chaos as chief executive Hector Sants resigns just months before general election"
negative,"i need money! i need new car!!! jesus...somebody please buy my old car :DDD"
negative,"In ny wif @DJWALLAH and the Heavy Hitter crew... shout to @freddyphh for looking real gay in the camera...lol..."
negative,"@ShiedhaO well damn! Renee still aint playin, is she?! and neither is Jack!! @LikasParody"
negative,"@heydusti oh, geez, I'd have a lot more songs that way."
negative,"@wendywave1 HAHAHAH that was worded weird. I'm reading while a candle is burning in my room"
negative,"On Insurance and Hospitals: I wonder if there is a connection between the hospital system overload and the format... http://bit.ly/d9QIc5"
negative,"Chilling textin (?) ... To much info..foreal you know its los ward yung squad bitch..."
negative,"Your busy schedule might not leave you a lot of room today for... More for Scorpio http://twittascope.com/twittascope/?sign=8"
negative,"Heres a new idea,how about i get you a spoon so you can read my ass."
negative,"Andy is rambling on C&C this morning - shutup and get on with it man"
negative,"@tigerlilybubu lol, where are you? I once forgot the car completely and left home without it."
negative,"@LSal92 and yet they are a minority ... despite the election law being changed to skew things in Aoun's favor, they remain a minority"
negative,"oh my goodness I'm emo"
negative,"@Din_Jee wait wait wait...im confused...are you there?"
negative,"emm, my lip is starting to hurt :/"
negative,"Finally off work. Gonna go home and try to sleep whatever this is off so I can go to my other job. I hate to miss work"
negative,"#TED travel off to rocky start thanks to wayward wallet. JUST made my flight, but horridly tense."
negative,"@nicko236 Lol, well I considered posting something normal, but since when have I been normal."
negative,"It saddens my heart 2 C women with black eyes! :("
negative,"I cant feel my feet.. that cant be good.."
negative,"He's been ranting about this for years RT @eugenelee finally blogged Business is Conducted by People, not Users http://bit.ly/9Dt24j"
negative,"About to spend the next couple of hours of my life working for the man"
negative,"RT @BRADPIFF877: I should of threw my self on the floor and screamed (bro u would be gettin a fat check if u had done dat)"
negative,"@Nyamorabu yea, that's y I'm not supposed to use it, they wanna attribute all the results to the mouthwash, without chewing gum to help it."
negative,"@Jesse_Son How DARE YOU I am now* your darklordwaffle PIMP now hoe work that corner *pimp slaps*"
negative,"PORN!?! Shit WONT be E Z my G! Trust me i TRIED! RT @overtheFame I think I know what I am giving up for Lent...it won'... http://3.ly/3uC"
negative,"Las year I was so stressed out I forgot I was my birthday. Didn't figure it out til 730 that night. My bad."
negative,"Just back from a walk with the doggies. Got caught in a hail storm - hailstones really sting when they're lashing down on your face!"
negative,"Bored with waiting for the iPad to come out so I've made my own out of a journos pad and some spray mount http://yfrog.com/3lg87aj"
negative,"So I have come to the conclusions that there's bitches who dnt like me on here bt follow wtf I gotta say!"
negative,"my clothes smell like weed, vomit and chicken. and i didnt smoke. nor vomit. and most unfortunately didn't eat chicken. nice -_-"
negative,"It took 2 hours rummaging through my receipt drawer only to learn I?d lost the receipt, isn?t there a better way? http://ow.ly/14Xm2"
negative,"@debontherocks Conferences have NEVER made me wish to have a child. EVER. What are you drinking @ said cons??"
negative,"@armaghetto ugh... if i have too much of the gogo juice i get a bad stomach ache"
negative,"Urgh i'm soo bored and tired. text. call, anything. hmm i must find things to multi task on now!"
negative,"Headed to human resources class. Now I know why Michael hates Toby so much."
negative,"my moms a retard for reading my texts and thinking my most recent tweet was inapproprate"
negative,"RT @BoomerLivingNow: Retirement: Don't Run Out of Money Before You Run Out of Time http://ow.ly/15RgI #finances #boomer #retirement"
negative,"So I missed #BGC again this wk...can some tell me wht happened"
negative,"Everyone says to give up on you, but they don't see you like I do."
negative,"@zanniewee yep, sumtimes beatings or spankings ultimately lead the child 2 b more rebellious...not me tho, my momz hitz were effective lol."
negative,"After these shows I'm callin it a early nite, been up early and already gettin sleepy!!"
negative,"RT Sorry i've been quiet on the tweetside, i'm just really into @Viewpointr right now (http://viewpointr.com)"
negative,"just watched 10 minutes of house of payne cause I didnt want to get up and look for the remote."
negative,"I just fell asleep, at the most, three and a half hours ago. Why the bitch am I awake?"
negative,"RT @stillgtit: If you can't lick or stick then I must tell you #itaintthatgoodman so introduce me to your best friend<"
negative,"@Momodel180 pssshh yal bugging I never shovel snow a day in my life!!! Lol"
negative,"@WCooksey I'm shocked, nay appalled, to hear that you are regularly communicating with your constituents. And caught on tape! ^"
negative,"RT @BenCooper86 Mervyn King says he can't think of any reason why the UK would lose it's AAA rating - now will George Osborne shut up?"
negative,"And obviously not forgetting the fact I'm gonna feel 122356325x worse :| Oh well..."
negative,"@YoungMac24 that's the only game you have?"
negative,"why do Hong Kong people like to have their air cons on SUPERCOLD!?!?! man, i need some socks or something!!!!"
negative,"@sononchalant what happened to snow at 6 pm? http://myloc.me/3G5Mk"
negative,"i can feel that theres a growing pimple on my nose :("
negative,"@itsBreezeBaby whats that ?? you no me im at work = ("
negative,"@XGlitr_ObsesdX for sme reason my eyes burn too idk"
negative,"RT @tokyodymond_HLE: ii am leaveinq ; n imma delete my twitter ; n who wants my photoshop?"
negative,"RT @wandafay: avoid-an-audit-6-red-flags-you-should-Know http://icio.us/i420ea"
negative,"fuel-consumption data indicates weak growth http://bit.ly/bQL91T I First we had rail traffic data: Now we have this and with MSM spin, too"
negative,"Pressure mounting at Sunderland: Lorik Cana: Sunderland's winless run extended to 12 games following 1-1 ... http://bit.ly/dBAMHd telegraph"
negative,"@mrmoneyman i don't like bein stuck in the house i'd rather go to class"
negative,"I am so pissed! me and my boyfriend broke up today! i broke up with him for the recorde!"
negative,"@danicapatrick is CSI investigating brakes tampering, or a little nitro in the engine? Gd luck in Nationwide race #nascar"
negative,"UPDATE. :) Dead nanaman ako nito. (doh) Sorry Ate Mona. :'( http://plurk.com/p/3q1mes"
negative,"@jamesw650 omfg I cannot believe you just tweeted that? Are you effn serious with me?!"
negative,"Ninjas got mills$ I just want a couple too... So bad bout to cry? me a 50? juice?... @Chip216"
negative,"@judybopp LOL ohh i think i lost someone today realized it wasnt meant to be and hurts"
negative,"you guys are so stupid, seriously. fighting over people you will NEVER get. HAHA."
negative,"i don't understand. i really don't. this course feels wrong, hospital radio isn't right, and i'm not happy."
negative,"ArcelorMittal posts $1.68 billon loss for 2009 http://nxy.in/kemfi"
negative,"RT @HeavyHand Where is the, where is the, where is the TOILET TISSUE???? FUCK!!!!!!"
negative,"@craigjettech but I really not like the spring in Macau, it's too wet!!"
negative,"@CNN Darkeness in the shadows of DC. Bethesda, MD has no power for 4 days..snow, 30 inches, unploughed.. is this the new America? RT"
negative,"@mckeay First aid isn't possible - you need a fresh start - reanimating a corpse is not first aid."
negative,"I hate Lloyds Bank. They want me to phone them up everytime I want to do something. I fact I hate banks in general."
negative,"RT @RevRunWisdom: Dbl check who ur hangin with:: Many ppl think they're wise,, because they're hanging with idiots (who u wit?)"
negative,"RT @Idothat2: Are You OK? I'M CRYING MY EYES OUT DO I LOOK F-ING OK!?! #idothat2"
negative,"Breaking news : British fashion designer McQueen found dead at 40 (AP): AP - His runway shows were often like perf... http://bit.ly/bWSSop"
negative,"the snow keeps falling here. I will have to shovel again soon .. http://tweetphoto.com/11026757"
negative,"@feltique Its a very sad loss especially to the fashion industry"
negative,"@thatgirlizfancy http://tinychat.com/ayobitch fuck yo room drizzy..errybody thats in there come joint us = ]"
negative,"Thanks for nothing Mr. President: To the Editor:"
negative,"off to a wack place i call school."
negative,"#WhatsWorseThan dog shit on yo shoe and u track it in yo house"
negative,"RIP Alexander McQueen. I can't believe this. :("
negative,"The 'Miss Me Yet?' billboard. My answer would be absolutely not. http://ow.ly/16oVf"
negative,"If he ever sees that I blipped it; He'll know! But, it applies to me too! ? http://blip.fm/~krhnh"
negative,"@BossCampbell Just drink a bottle of bleach and stop bothering people."
negative,"RT @MONALISALUV #petpeeve the belief that material possessions make you better than the next person."
negative,"RT @footymad: Man. Utd.: Giggs elbow concern for United http://bit.ly/aiv9h1"
negative,"like how you guys think that my thesis topic is boring. i mean, i already know it is. no need to keep telling me repeatedly."
negative,"Apple : Tech Today: Google Jolts Telecom Rivals; Apple Is in TV-Pric - http://www.askbiography.com/bio/Apple.html"
negative,"Desperate bid to catch flight lands father and son in custody: A desperate bid to catch a? http://goo.gl/fb/JlGe"
negative,"RT @MoneAlicia: @IAMSEANO Jealous....I need to be having breakfast with u."
negative,"@CoolKid__Sam Yeeea...scuzzin bluzzin im in the cribberzzz, my fault for not seein yur tweet, dylan online rite now."
negative,"@solarfund That's so sad! RIP Walt Ratterman.....my heartfelt sympathy to his family, friends and colleagues."
negative,"@MissKahla i was playing with you :( so where do you want to go"
negative,"bad weather on holiday X( X( have nothing but to sleep in a warm room with a comfortable bad.."
negative,"thinkin i should wash my hair before i get it done tomorrow... decisions decisions... hmmm"
negative,"@LizzyNY Hi Lizzy. I know you guys really got a lot of snow. They closed our New York office yesterday at 11:30"
negative,"Charlie Wilson, US politician who secretly funded CIA in Afghanistan, dies http://tumblr.com/xpq6cev4y"
negative,"All of a sudden I feel incredibly lonely...I blame the cold weather and hormones...and V-day...damnit, where are my pills?"
negative,"RT @colingilchrist: Alexander McQueen, the rumours are true. Poor boy RIP."
negative,":| I can't wait to move out, just so I can decorate and have a decent looking, tidy, clean house/flat, instead of this shithole."
negative,"RT @Tiana2Hot: #petpeeve ppl being over-affectionate in front of me..its not me hating it just makes me sick!..Ex:no I luv u snookie bear..ooh yes I do"
negative,"Hmm...I need to ask Joe who his groomsmen and best man are. And we need to decide on a date. And our honeymoon. Meh."
negative,"@pocketkip Hahahaha! If you wanted to be extra bitchy, you could've streamed it via UStream!"
negative,"Bill: Dorian Gray (por Fucker Berrouz) http://bit.ly/cq7i63"
negative,"Tbh I'm rarther pissed off, just wana get out my house!!"
negative,"@Bolanile I just lost my voice watching this game."
negative,"I don't know what it is"
negative,"@bugiaking - That's Because I can BEAT YOU .. MORE THAN SHAWN MICHAELS CAN .."
negative,"#whatsworsethan walkin in late to class and havin to sit in the front when u the only negro in there"
negative,"I wanna snap ya neck and spit on you, u say who ARRE you WHO ARE YOOUU!!!"
negative,"#petpeeve when someone you 'befriended' on the internet acts like they know you forreal. I never understood that whole thing."
negative,"Bill Clinton Undergoes Heart Procedure: An adviser to Bill Clinton says the former president has had two"
negative,"@BorrisInABox You can change the startup sound? How? I didn't think it was possible?"
negative,"@killer_360 i guess its cause you like Ross and Jeezy and hardcore shit thats why,but feedback is feedback."
negative,"To the idiot outside, we didn't make the snowman right outside our window for no reason. Thanks for killing my first snowman jackass! :("
negative,"So john mayer said the n word. I said crack/honkie 46 times today. Is my penis racist I think not. I like wh girls to. @MARLONLWAYANS"
negative,"Bait is too 08 kita! Somethin new please! #noshade RT @MissKitaKatt: He the bait but his phone is shot the hell up!"
negative,".find() with simple :join: Hello all, I about to pull my hair out. I have two models Activities and Activity_... http://bit.ly/aUTmVI"
negative,"It looks like you bought that car from Dollar General!"
negative,"Must go and scrape the ice off the windscreen"
negative,"beganhobbling toward"
negative,"RT @lr3031: @LizBlaine My latest-> Barack Obama: You Have ?No Reasonable Expectation Of Privacy? http://bit.ly/c29txn PLS RT #tcot #sgp #usa"
negative,"did a show last night and tonight. have shows on sunday, monday, tuesday, and wednesday. I'm a busy lil comic"
negative,"what the heck is this thing stuck in my throat...."
negative,"@xchrissielynn lmfao gosh i feel sorry for you =p you HAVE to put up with my drunken tweets on Tuesday ;)"
negative,"Don't Ask Me a Question, If You're Not Going to Believe My Answer. http://formspring.me/KAPZTHATITAN"
negative,"Watching the first snow fall for us and wanting to be a together as a family enjoying it.... cancer SUCKS"
negative,"RT @RevRunWisdom: Never allow a person tell you NO who doesnt have the power to say YES"
negative,"@Baby_Rinna I miss u!"
negative,"@AmIzzy she's carrying them around with her, so bound to lose some.has 2 at a time lately!"
